Month,Year,Rainfall,Paddy,Cotton,Wheat,Groundnut
1,2018,19.2,150.4,143.4,140.8,113.4
2,2018,20.1,151.4,141.9,140,114.9
3,2018,27.1,152.6,137.7,141.2,114.3
4,2018,40.2,153.3,134.4,140.9,109.6
5,2018,62.7,154.2,133.9,141.7,107.5
6,2018,165,153.9,136.6,143.1,109.7
7,2018,286.3,155,138.5,145,112.4
8,2018,254.3,155.6,140.3,148.6,119.9
9,2018,171.9,155.7,141.1,149.8,118.2
10,2018,77.2,155.7,141.8,151.1,118.8
11,2018,28.1,155.5,139.5,152.2,125.3
12,2018,14.1,154.7,140.2,152.8,122.6
1,2019,18.5,155.8,115.5,154.8,123.8
2,2019,33.1,156.5,113.1,157.2,125.2
3,2019,18.7,156.6,117.1,155.5,126.8
4,2019,31.5,157,125,151.5,129.5
5,2019,51.3,157.6,125.2,150.7,134.5
6,2019,113.5,158.4,124.9,150.8,140.3
7,2019,298.8,159.9,123.2,153.4,147.1
8,2019,299.9,160.8,120.7,156.5,149.6
9,2019,259.5,161.9,117.7,158.3,150.2
10,2019,110.1,162.7,113.6,160.4,148.8
11,2019,31.6,162.1,109.6,164.5,140.6
12,2019,19.2,162,108.9,165.7,137.3
1,2020,28.3,162.3,109,168.7,139
2,2020,12.1,162.3,107.5,167.3,142.7
3,2020,44.7,159.3,107,162.9,149.8
4,2020,42.7,162.7,106.8,161.2,155.8
5,2020,71.8,163.1,104.4,161.5,157.7
6,2020,195.6,165.6,106.1,158.5,158.8
7,2020,257.1,165.8,106.4,157.3,156.5
8,2020,327.8,165.4,92,154.2,154.2
9,2020,178,165,94.8,150,145.5
10,2020,78.3,163.7,99.6,147.4,145.1
11,2020,29.2,163.2,105.4,147.9,146.3
12,2020,17,162.2,107.9,147.3,149.1
1,2021,20.2,162,109.9,149.1,156.4
2,2021,7.6,161.7,113.9,149.6,162.1
3,2021,16.7,161.5,116.1,150.3,170.4
4,2021,31.1,162,114.9,156.1,167.7
5,2021,107.8,162.2,116.6,157.4,163.4
6,2021,182.4,161.7,125.6,155.7,163.3
7,2021,266.2,161.2,131.2,152.8,160
8,2021,196.3,161.8,134,153.9,161.9
9,2021,229.6,162.3,132.6,156.6,162.9
10,2021,100.8,162.8,141.5,159.4,160.4
11,2021,56.5,162.8,147.9,162.9,163.6
12,2021,20.5,162.6,146.6,164.1,165.3
1,2022,,162.9,159.1,164.6,167.3
2,2022,,161.7,173.3,166.1,165.7
3,2022,,163.1,185,171.4,169.1
4,2022,,164.4,209.8,173.3,171.2
5,2022,,165.1,235.1,174.1,174.3
6,2022,,165.5,226.2,171.8,171
7,2022,,166.2,203.6,173.6,172
8,2022,,168.8,219.6,180.6,175.3
9,2022,,171.7,201.5,181.8,175.2
10,2022,,173.6,179.4,185.3,175.2
11,2022,,173.3,183,192.4,176.6
12,2022,,173.7,178.9,198.2,181.6
