Month,Year,Rainfall,Paddy,Cotton,Wheat,Groundnut
1,2013,11.3,116.7,106.5,121.6,128.7
2,2013,40.1,117.9,106.1,123.6,125.3
3,2013,15.7,118.7,112,122.8,121.1
4,2013,30.4,120.4,112,120.1,124.7
5,2013,57.8,121.9,114.4,118.9,122.2
6,2013,219.8,124.9,115.9,121.9,115.8
7,2013,310,129.4,119.1,122.3,110.3
8,2013,254.7,132,123.6,123.1,106.2
9,2013,152.7,131.3,120.4,124.6,107.1
10,2013,129.4,131,118.7,125.7,107.6
11,2013,14,131.3,115.7,127.6,104.7
12,2013,6.7,130.6,112.9,128.6,100.4
1,2014,19.2,131.1,115.7,130,100.7
2,2014,27.4,132.3,114.2,128.8,99.4
3,2014,36.1,132.6,111.7,127.5,99.3
4,2014,22.2,133.7,114.9,123.5,100.4
5,2014,72.9,136,115.5,120.9,103.9
6,2014,95.4,137.2,120.9,120.4,102.5
7,2014,261.2,139.6,122.8,121.9,103.5
8,2014,237.5,140.5,132.6,122.5,106.3
9,2014,188,140.5,125.2,121.8,109.8
10,2014,60.2,140,120.7,122.3,109
11,2014,14.4,138,114.5,123.7,106.5
12,2014,10.7,134.6,111.2,125.8,105
1,2015,17.4,133.5,107.7,126.3,110
2,2015,21,134.1,108.5,125.9,111.1
3,2015,62,132,113.8,125.9,115
4,2015,69.4,132.6,119.4,125.1,119.7
5,2015,53.8,134.2,122.6,124.1,127.3
6,2015,192.8,133.6,125,122.3,135.7
7,2015,242.4,133.4,129.8,124.8,133.1
8,2015,205.2,133.9,131.1,126.1,134.8
9,2015,131.8,135.2,141.4,126.2,136.1
10,2015,42.9,135.8,146.2,128.5,122.3
11,2015,39.4,135.6,136.8,129.9,122.4
12,2015,15,135.4,140.7,131.9,126
1,2016,19.3,135.8,145.3,134.1,123.3
2,2016,22.8,135.3,148.2,134.1,124.6
3,2016,27.6,135.2,150.3,134.1,128.9
4,2016,37.4,136.3,157.2,132.9,139.1
5,2016,62.6,139.1,156.8,134.5,143.4
6,2016,168.3,142.2,164,136.5,146.1
7,2016,289.1,144.2,167.8,137.9,150
8,2016,256.3,144.6,166.6,139.1,145.5
9,2016,171.9,144.7,164.4,140,140.3
10,2016,76.1,145.1,161.8,140.8,132.3
11,2016,29.7,145,154,147.9,126.4
12,2016,14.9,144.2,156.3,152.3,131.5
1,2017,19,143.8,159,151.3,134.1
2,2017,22.6,146.4,157.9,149.3,132.4
3,2017,27.8,147.7,156.5,142.9,137.7
4,2017,37.9,147.6,154.5,141,139.8
5,2017,62.4,148,148.1,137.5,136.2
6,2017,168.1,148.4,145.4,136.1,133.2
